Author,Title,Description,Defect ID,Defect Description,Source,Risk Assessment,Status
software_developer,,Harness compilation error when anonymous structure used for sizeof in arraysize,75498,"Previously, VectorCAST/C++ generated test harness code which did not compile when thesource code had an array size containing a sizeof expression with an anonymous struct. This problem has been resolved in VectorCAST version 2024 SP6.",KNOWN_PROBLEM_BY_VENDOR,No test binary is produced on a misleading compiling error from VectorCAST. No Risk.,NO RISK
software_developer,,Ada harness compile error when function returns FORWARD_ITERATOR orREVERSIBLE_ITERATOR,96348,"In previous versions of VectorCAST/Ada, a harness compile error could occur for testable functions that returned an instantiation of the generic ADA.ITERATOR_INTERFACES.FORWARD_ITERATOR orADA.ITERATOR_INTERFACES.REVERSIBLE_ITERATOR. This problem is fixed in VectorCASTversion 2024 SP6. Such functions are no longer called in the harness from the test driver.",KNOWN_PROBLEM_BY_VENDOR,No test binary is produced on a misleading compiling error from VectorCAST. No Risk.,NO RISK
software_developer,,Unstubbed entities log now identifies incomplete template arguments,101368,"Previously, VectorCAST/C++ only gave the reason ""Function uses a template with anincomplete parameter type"" in the Unstubbed Entities Log, without specifying theincomplete type. Starting with VectorCAST version 2024 SP6, the incomplete type is noted inthe Unstubbed Entities Log.",KNOWN_PROBLEM_BY_VENDOR,"Previously, when a function used a template with an incomplete parameter type, VectorCAST only logged a generic reason: ""Function uses a template with an incomplete parameter type.""
However, the log did not specify which template parameter type was incomplete, leaving developers without detailed information for troubleshooting. No risk, only impact on usability.",NO RISK
software_developer,,"GUI shows error message about PATH, but runs command anyway",101418,"In previous versions of VectorCAST, when executing external programs with a space in the filepath, the message window would sometimes incorrectly indicate that the program could not befound or fail to indicate when the program could not be found. These problems are fixed inVectorCAST version 2024 SP6.",KNOWN_PROBLEM_BY_VENDOR,"No risk, only impact on usability.",NO RISK
software_developer,,Stub fails to be created when base or member type has move constructorfirst,100832,"In previous versions of VectorCAST/C++, a constructor could fail to be stubbed if a parent ormember class declared a move or copy constructor before non-move and non-copyconstructors, potentially resulting in a harness link error. This problem is fixed in VectorCAST2024 SP5.",KNOWN_PROBLEM_BY_VENDOR,"Linker error is easily detectable. No risk, only impact on usability.",NO RISK
software_developer,,Harness compile error when struct field is a const pointer to std::array,100851,"Previously, VectorCAST/C++ could not successfully compile the test harness when the sourcecode under test included a const pointer to a std::array container, displaying an errormessage ""error: uninitialized const in 'new' of 'const structstd::array<..."". This problem has been resolved in VectorCAST version 2024 SP5.",KNOWN_PROBLEM_BY_VENDOR,Compiler error is easily detectable.,NO RISK
software_developer,,Unstubbed Entities Log incorrectly reports base class as abstract when usable constructor not found,101254,"In previous versions of VectorCAST/C++, the Unstubbed Entities Log incorrectly reported constructors as belonging to abstract classes in cases when they could not be called due toonly having accessible constructors that take self-references (such as copy and move constructors). This has been fixed in VectorCAST version 2024 SP5.",KNOWN_PROBLEM_BY_VENDOR,"Specific issue, easily detectable with small or no impact. No risk.",NO RISK
software_developer,,"Parse failure: ""no suitable user-defined conversion""",VC-116,"In previous versions of VectorCAST/C++, a ""no suitable user-defined conversion""error could incorrectly occur for some code which compiled correctly. This problem is fixed inVectorCAST version 2024 SP5.",KNOWN_PROBLEM_BY_VENDOR,Misleading error but leads to No Risk.,NO RISK
software_developer,,Incorrect printing of floating point values with some MinGW-based compilers,VC-315,"Previously, when using a MinGW-based GNU compiler, VectorCAST/C++ would print floating point values incorrectly, leading to incorrect range determination or test execution failures.This problem is fixed in VectorCAST version 2025 SP2.",KNOWN_PROBLEM_BY_VENDOR,This is a critical bug. Incorrectly printing floating-point values can lead to silent incorrect test execution results. A test might pass or fail for the wrong reason which compromises test integrity and is a severe risk for safety-critical software.,Risk exists
software_developer,,Test script lines with invalid values should be saved to Unapplied Test Data,VC-801,"Previously, VectorCAST/C++ set invalid and out-of-range values to 0 or the minimum possible value during test script import. Starting with VectorCAST version 2025 SP2, invalid and out-of-range values cause the test script line to be saved in the Unapplied Test Data test script, and an error message is displayed.",KNOWN_PROBLEM_BY_VENDOR,Potential Risk. The previous behavior would silently set invalid values to 0. This could lead to a test running with incorrect data producing a false positive or negative. The new behavior is a significant improvement that prevents a silent failure.,Risk exists
software_developer,,Stubbed units get coverage instrumentation when parallel codegen ineffect,VC-1321,"Previously, VectorCAST/C++ added coverage instrumentation for stubbed units when the environment variable VCAST_NUM_JOBS was greater than 1. Starting with VectorCAST version2025 SP2, stubbed units are no longer instrumented for coverage.",KNOWN_PROBLEM_BY_VENDOR,Potential Risk. Instrumenting a stubbed unit for coverage is a silent failure. The resulting report would show coverage for code that was never executed in the production binary.,Risk exists
software_developer,,Harness calculation for NaN matches 0.0 for some targets,VC-341,"In previous versions of VectorCAST/C++, VectorCAST would incorrectly report testcase runtime values as NaN when they were actually 0.0. This would occur for platforms wheredividing by a variable with value 0.0 resulted in 0.0 rather than NaN or an infinity. VectorCASTversion 2025 SP1 resolves this problem by providing a new harness macro('VCAST_LITERAL_DIVISOR_ZERO') to enable NaN and infinity calculations via a literal 0.0divisor instead of a variable. Add 'VCAST_LITERAL_DIVISOR_ZERO' to the clicast option'C_DEFINE_LIST' when using any platform with this problem. clicast -lc options_append C_DEFINE_LIST VCAST_LITERAL_DIVISOR_ZERO",KNOWN_PROBLEM_BY_VENDOR,High Risk. This is a critical bug. The tool could misreport a test case runtime value which compromises the integrity of the test results. This is a silent failure that is extremely dangerous for safety-critical software.,Risk exists.
software_developer,,Support output for testcases failing due to a signal failure,VC-481,"Previously, when using clicast to execute testcases in a VectorCAST unit test environment, theconsole execution report output did not support testcases that intentionally or unintentionally raised a signal, and therefore they displayed as though they were passing. Signals and exceptions are now supported in VectorCAST version 2025 SP1, where tests are correctly identified as failing and additional information is provided.",KNOWN_PROBLEM_BY_VENDOR,Potential Risk. The previous behavior would incorrectly report a failing test as passing. This is a silent failure that compromises test integrity and is a severe risk for safety-critical software.,Risk exists
software_developer,,Quickparse duplicates arguments passed to preprocess command,VC-396,"In previous versions of VectorCAST/C++, the preprocess command executed during theQuickparse stage of environment build unnecessarily duplicated some arguments, leading toexcessively long command lines, which in some cases, exceeded the Windows command linelength limitation. This problem has been fixed in VectorCAST version 2025 SP1.",KNOWN_PROBLEM_BY_VENDOR,No Risk. This bug would likely lead to an obvious build failure.,No Risk
